Symbol,Company,CurrentPrice,TotalScore,DividendYield,AvgYield2Y,MaxYield2Y,MarketCap,SizeCategory,SectorJP,SplitFlag,BuySignal,Problem,AvgGrowthRate,CumulativeDividend
4527.T,"Rohto Pharmaceutical Co.,Ltd.",2413.0,95,0.019063406547865726,0.015064867732505052,0.021054949033874025,541636395008.0,大型,生活必需品,,△,,0.1782658253570679,
9974.T,"Belc CO., LTD.",6510.0,100,0.01904761904761905,0.01419497112165195,0.02042300992022101,132692803584.0,中型,生活必需品,,△,,0.0935147406677925,累進
7512.T,Aeon Hokkaido Corporation,843.0,84,0.018979833926453145,0.01907891931230353,0.019897505198783395,115196723200.0,中型,一般消費財・サービス,,×,現金比率低い,0.0821350762527233,
9956.T,"Valor Holdings Co., Ltd.",3900.0,90,0.018974358974358976,0.022027392661962845,0.036732449928156954,199896367104.0,中型,一般消費財・サービス,,×,,0.0774250181403107,累進
6988.T,Nitto Denko Corporation,3166.0,94,0.018951358180669616,0.01600549473633446,0.02561227899021848,2104968085504.0,超大型,素材,,△,,0.0802541155124404,累進
8411.T,"Mizuho Financial Group, Inc.",7652.0,82,0.01894929430214323,0.027230308640627556,0.051744824768107114,18989602308096.0,超大型,金融,,×,自己資本比率低い,0.0828361719490751,累進
8045.T,"Yokohama Maruuo Co., Ltd.",1808.0,79,0.018805309734513276,0.03051504553492722,0.052448186714634144,11179728896.0,超小型,生活必需品,,×,ROE低い,0.1983121816455149,累進
2810.T,House Foods Group Inc.,3727.0,90,0.018781862087469816,0.01659710881377747,0.018380399326440932,330291675136.0,大型,生活必需品,,△,ROE低い,0.0559773023541139,累進
6845.T,Azbil Corporation,1706.0,94,0.01875732708089097,0.018558269209608243,0.02572158705496209,857020235776.0,大型,資本財・サービス,,△,,0.1292061053413647,累進
2742.T,"Halows Co.,Ltd.",3760.0,97,0.018617021276595744,0.013075153860001043,0.01872372807409683,76747071488.0,小型,生活必需品,,△,,0.1373225539892206,累進
8818.T,"Keihanshin Building Co., Ltd.",1077.0,82,0.018570102135561744,0.020557810072287106,0.03440333735687876,204356796416.0,中型,不動産,Split,×,現金比率低い,0.1114412744708311,
8285.T,"Mitani Sangyo Co., Ltd.",701.0,92,0.018544935805991442,0.02240033576725193,0.036768445376260915,43160678400.0,小型,資本財・サービス,,×,,0.0694444444444444,累進
9533.T,"Toho Gas Co., Ltd.",1221.5,87,0.018419975440032748,0.015490196278037898,0.023206865382117074,428845924352.0,大型,公益事業,Split,△,,0.0651936026936026,累進
6645.T,OMRON Corporation,5653.0,82,0.01839731116221475,0.020035631398941288,0.030424605602665866,1103484157952.0,超大型,情報技術,,×,ROE低い,0.048884445302361,累進
1942.T,"Kandenko Co.,Ltd.",6797.0,87,0.018243342651169635,0.02633479436373915,0.047694105472666184,1337373753344.0,超大型,資本財・サービス,,×,現金比率低い,0.2624117480112521,
4733.T,"OBIC Business Consultants Co., Ltd.",6109.0,100,0.01816991324275659,0.012037822734205249,0.015827662874622436,438054649856.0,大型,情報技術,,△,,0.1329016986911723,累進
4816.T,"Toei Animation Co.,Ltd.",2431.0,91,0.01809954751131222,0.01677689148192379,0.01984418771555108,471758667776.0,大型,コミュニケーション・サービス,,△,,0.3061838635363825,
8283.T,Paltac Corporation,6647.0,90,0.018053257108469986,0.02109738180018604,0.03182131806064704,402468077568.0,大型,生活必需品,,×,,0.085278075921455,累進
8079.T,Shoei Foods Corporation,4160.0,66,0.018028846153846152,0.01348687333222936,0.016305538834165915,68199215104.0,小型,生活必需品,,△,,0.1224235104669887,累進
3741.T,"Systems Engineering Consultants Co.,LTD.",3330.0,84,0.018018018018018018,0.02295818008160428,0.03067638584842001,32466567168.0,超小型,情報技術,Split,×,,0.1955622747084113,
9436.T,Okinawa Cellular Telephone Company,3725.0,92,0.017986577181208052,0.020607242738995214,0.03263401290152954,339216793600.0,大型,コミュニケーション・サービス,Split,×,現金比率低い,0.1116212376590815,累進
6951.T,JEOL Ltd.,7343.0,89,0.01797630396295792,0.020620389954947943,0.029568421197339018,357613207552.0,大型,情報技術,,×,,0.3405214648641608,
3093.T,"Treasure Factory Co.,LTD.",2241.0,92,0.0178491744756805,0.018567331256654093,0.02817254082571131,48359211008.0,小型,一般消費財・サービス,,×,,0.2672018986806191,
2220.T,"Kameda Seika Co.,Ltd.",1234.0,97,0.017828200972447326,0.014416744407750008,0.016050300731744314,77480214528.0,小型,生活必需品,Split,△,,0.0543785418894955,累進
2152.T,Youji Corporation,1464.0,95,0.017759562841530054,0.01880751473767827,0.020614300017289724,15782525952.0,超小型,生活必需品,,×,,0.2168432719920134,累進
4536.T,"Santen Pharmaceutical Co., Ltd.",2147.5,92,0.01769499417927823,0.019380920548073697,0.029573788071872543,684711477248.0,大型,ヘルスケア,,×,,0.0439072637602049,累進
7733.T,Olympus Corporation,1724.0,95,0.01740139211136891,0.01612712229860407,0.02334986585418457,1788674441216.0,超大型,ヘルスケア,,△,,0.1997172943251374,累進
